News1,News2,News3,News4,News5
"Final Trade: LULU, VIK, HALO, CCJ",NaN,NaN,NaN,NaN
"Stocks making the biggest moves premarket: Taiwan Semiconductor, Insulet, Expedia and more",Dropbox call volume above normal and directionally bullish,Dropbox put volume heavy and directionally bearish,RBC Capital Sticks to Their Buy Rating for Dropbox (DBX),Dropbox Financial Analysis: Hold Rating Amidst Modest Growth and Market Headwinds
FirstService Plans Share Buyback to Boost Value,NaN,NaN,NaN,NaN
Analysts Offer Insights on Energy Companies: Talos Energy (TALO) and Weatherford International (WFRD),Weatherford International (WFRD) Gets a Buy from Goldman Sachs,Weatherford International to Speak at Barclays Energy Conference,"Weatherford announces acquisition of Datagration, terms not disclosed",Weatherford Announces Acquisition of Datagration
Broadcom AI results fail to enthuse the Street: Morning Buzz,Piper upgrades Intra-Cellular on potential in major depressive disorder,Intra-Cellular upgraded to Overweight from Neutral at Piper Sandler,Intra-Cellular Therapies to Present at Three Upcoming Investor Conferences,Intra-Cellular price target raised to $81 from $79 at JPMorgan
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Altair Engineering, Oasys announce joint development agreement",Closing Bell Movers: Bigbear.ai surges after announcing FAA contract,Altair Engineering rallies after Matrix Capital clarifies position,Altair Responds to Matrix Capital Management Statement on Altair Holdings,Altair says it appreciates Matrix Capital’s decision to maintain full position
AAON Announces Quarterly Cash Dividend,NaN,NaN,NaN,NaN
The Middleby (MIDD) Gets a Buy from KeyBanc,"McNamara’s Buy Rating for Middleby: Growth, Efficiency, and New Market Opportunities",NaN,NaN,NaN
Liberty Media CEO to Discuss Financial Outlook at Tech Conference,Atlanta Braves Holdings Announces Strategic Leadership Overhaul,Liberty Media Announces Completion of Formula One Stock Offering,Liberty Media Announces SiriusXM Holdings Split-Off,Split-off of Liberty SiriusXM approved at Liberty Media special meeting
Liberty Media CEO to Discuss Financial Outlook at Tech Conference,Atlanta Braves Holdings Announces Strategic Leadership Overhaul,Liberty Media Announces Completion of Formula One Stock Offering,Liberty Media Announces SiriusXM Holdings Split-Off,Split-off of Liberty SiriusXM approved at Liberty Media special meeting
Liberty Media CEO to Discuss Financial Outlook at Tech Conference,Atlanta Braves Holdings Announces Strategic Leadership Overhaul,Liberty Media Announces Completion of Formula One Stock Offering,Liberty Media Announces SiriusXM Holdings Split-Off,Split-off of Liberty SiriusXM approved at Liberty Media special meeting
UFP Industries Announces Leadership Changes and Salary Details,"UFP Industries CEO Missad to move to exec chairman, Schwartz named CEO",NaN,NaN,NaN
"Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more",AI demand could strain electrical grid in coming decade,The charts are bullish on the utilities sector and this member breaking out,This power provider has doubled as it charts a path for nuclear data centers,Crypto investors weigh new inflation data that clears way for potential rate cuts: CNBC Crypto World
Automakers are getting back into advertising’s biggest arena: NFL,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box",Rising NFL valuations mean massive returns for owners,"Summer box office bounced back thanks to ‘Inside Out 2,’ ‘Deadpool & Wolverine’","NFL’s next big media rights payday is years off, subject to shifting industry"
"Stocks making the biggest moves midday: PDD Holdings, SolarEdge and more",5 things to know before the stock market opens Tuesday,CNBC Daily Open: Wall Street extends winning run,SEC charges Carl Icahn with hiding billions in loans backed by IEP stock,Icahn Enterprises put volume heavy and directionally bearish
Barclays Sticks to Their Hold Rating for Pinnacle Financial Partners (PNFP),NaN,NaN,NaN,NaN
Leonardo DRS management to meet with BTIG,Leonardo DRS management to meet with Truist,Leonardo DRS awarded $117M production order for family of weapon sights,Leonardo DRS awarded $49M contract for additional joint assault bridge systems,Leonardo DRS awarded $52M follow-on production order
"Stocks making the biggest moves midday: Dollar Tree, GitLab, Zscaler and more","Stocks making the biggest moves premarket: Nvidia, GitLab, Sweetgreen and more","Tuesday’s top analyst calls: Apple, Netflix, Nvidia, Ferrari, BlackRock and more",GitLab Recognized as a Leader in the Gartner® Magic Quadrant™ for DevOps Platforms for the Second Consecutive Year,GitLab price target raised to $55 from $50 at Barclays
SPS Commerce to Present at Citi’s 2024 Global TMT Conference,Buy Rating Affirmed for SPS Commerce on Consistent ARR Growth and Successful M&A Strategy,"SPS Commerce files to sell 404,587 shares of common stock for holders",NaN,NaN
Lantheus Bolsters Board with Expert Finance Executive,Lantheus appoints Eastland as new board member,Lantheus Appoints Julie Eastland as New Board Member,Lantheus initiated with a Buy at Redburn Atlantic,Lantheus to Present at the Morgan Stanley 22nd Annual Global Healthcare Conference
"Lightning Round: Elf is without a doubt one of the most shorted stocks on the market, says Jim Cramer",New York Times investigation finds Acadia breaks law by holding patients,NaN,NaN,NaN
Cathie Wood’s ARK Investment bought 564K shares of Aurora Innovation today,Cathie Wood’s ARK Investment bought 558K shares of Aurora Innovation today,NaN,NaN,NaN
Bank of America Securities Sticks to Its Buy Rating for Exelixis (EXEL),Exelixis put volume heavy and directionally bearish,Biotech Alert: Searches spiking for these stocks today,NaN,NaN
Analysts Conflicted on These Financial Names: Zions Bancorporation National Association (ZION) and Standard Chartered (OtherSCBFF),Zions Bancorp price target lowered to $50 from $52 at Wells Fargo,Unusually active option classes on open August 12th,NaN,NaN
Constellium appoints Bradley Soultz as special advisor to board,WillScot Announces Investor Conference Schedule for September 2024,NaN,NaN,NaN
"Colliers buys Western Australian engineering firm Pritchard Francis, no terms",Colliers to acquire leading Western Australian engineering firm,NaN,NaN,NaN
Wall Street Analysts Are Bullish on Top Healthcare Picks,Revolution Medicines: A Strong Buy on Robust Financials and Promising Clinical Pipeline,Revolution Medicines Maintains Buy Rating Amid Promising Clinical Progress and Strong Financial Standing,NaN,NaN
Popular assumed with an Overweight at Piper Sandler,Barclays Sticks to Its Buy Rating for Popular (BPOP),NaN,NaN,NaN
Gentex initiated with a Neutral at UBS,Gentex Announces Third Quarter 2024 Cash Dividend,Gentex announces Q3 cash dividend 12c,"Voxx jumps after Gentex buys shares at $5, offers buyout","Gentex raises stake in Voxx, submitted proposal to acquire all shares"
"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,Buy Rating on Viking Therapeutics: A Strategic Opportunity Amid Market Overreaction,"Viking Therapeutics selloff on Zepbound news an opportunity, says Truist",Biotech Alert: Searches spiking for these stocks today
"Wintrust Appoints New Head of Diversity, Equity, and Inclusion","Wintrust Expands Workplace Solutions Offering for HSAs, FSAs, and More, Powered by First Dollar",Barclays Sticks to Its Buy Rating for Wintrust Financial (WTFC),NaN,NaN
"Stocks making biggest moves midday: JetBlue, Tesla, G-III Apparel and more",Jim Cramer’s top 10 things to watch in the stock market Thursday,"Stocks making the biggest moves premarket: C3.ai, Tesla, JetBlue and more",Verizon CEO Hans Vestberg on $20B Frontier deal: Enhances and accelerates our broadband efforts,"Dow falls 200 points, S&P 500 posts third straight loss as growth fears plague investors"
Truist healthcare analyst holds an analyst/industry conference call,Jazz Pharmaceuticals’ Epidiolex shows efficacy in epilepsy presentations,Analyzing Jazz Pharmaceuticals: A Hold Rating Amidst Oncology and Sleep Disorder Market Dynamics,"H.C. Wainwright says buy Avadel selloff, court ruling ‘unequivocal win’",Jazz Pharmaceuticals (JAZZ) Gets a Buy from Stifel Nicolaus
"Monday’s top analyst calls: Nvidia, Apple, Qualcomm, Robinhood, Starbucks",Liberty Global A Subsidiaries’ Latest Financial Overview Released,Liberty Global A Publishes VodafoneZiggo’s Quarterly Financial Report,Liberty Global upgraded to Neutral from Underperform at BofA,Liberty Global A: Hold Rating Amid Spin-Off Potential and Strategic Uncertainties
"Monday’s top analyst calls: Nvidia, Apple, Qualcomm, Robinhood, Starbucks",Liberty Global A Subsidiaries’ Latest Financial Overview Released,Liberty Global A Publishes VodafoneZiggo’s Quarterly Financial Report,Liberty Global upgraded to Neutral from Underperform at BofA,Liberty Global A: Hold Rating Amid Spin-Off Potential and Strategic Uncertainties
Grupo Financiero Galicia upgraded to Buy from Neutral at Citi,Grupo Financiero Galicia upgraded to Overweight from Underweight at JPMorgan,Grupo Financiero Galicia Names New CRO,Grupo Financiero Announces Capital Growth Plan,Grupo Galicia Reports Strong Growth in Q2 2024
Insight Enterprises Enhances Leadership and Financial Strategy,Insight Enterprises appoints James Morgado as chief financial officer,NaN,NaN,NaN
Grifols postpones Capital Markets Day until further notice,"Brookfield in talks to join buyout of Grifols, Bloomberg reports","Brookfield in talks to join sovereign funds in Grifols bid, Bloomberg says",NaN,NaN
Confluent CEO Jay Kreps goes one-on-one with Jim Cramer,"Here are Friday’s biggest analyst calls: Nvidia, Chipotle, Eli Lilly and more",Balancing Growth and Challenges: A Hold Rating for Confluent’s Market Position and Financial Health,Confluent (CFLT) Receives a Buy from Stifel Nicolaus,DA Davidson technology analysts hold an analyst/industry conference call
"Monday’s top analyst calls: Nvidia, Apple, Qualcomm, Robinhood, Starbucks",Liberty Global A Subsidiaries’ Latest Financial Overview Released,Liberty Global A Publishes VodafoneZiggo’s Quarterly Financial Report,Liberty Global upgraded to Neutral from Underperform at BofA,Liberty Global A: Hold Rating Amid Spin-Off Potential and Strategic Uncertainties
Ionis Pharmaceuticals management to meet with Oppenheimer,Ionis Pharmaceuticals’ Strong Position in the Market Post-Competitor Trial Analysis,Ionis Pharmaceuticals: A Strong Buy Amidst Burgeoning Cardiomyopathy Market,JPMorgan healthcare analysts hold an analyst/industry conference call,Truist biotech analysts hold an analyst/industry conference call
Dell and Palantir to join S&P 500; shares of both jump,"U.S. airlines cool hiring after adding 194,000 employees in post-Covid spree",Friday’s stock stories: What’s likely to move the market in the next session,Here’s where American Airlines is adding flights to Europe in summer 2025,Why airlines like American are scrambling to make engines last longer
CCC Intelligent Solutions resumed with a Buy at BofA,Wall Street Analysts Are Bullish on Top Technology Picks,CCC Intelligent Solutions: A Strong Buy on Robust Growth and Profitability Outlook,NaN,NaN
HashiCorp resumed with a Neutral at CitiI,Maintaining Hold on HashiCorp Amid IBM Acquisition and Transition Risks,Truist Financial Keeps Their Hold Rating on HashiCorp (HCP),"HashiCorp reports Q2 EPS 8, consensus 0c","Hashicorp, Inc. Class A (HCP) Q2 Earnings Cheat Sheet"
NaN,NaN,NaN,NaN,NaN
"Tuesday’s top analyst calls: Netflix, Lyft, Amazon, CrowdStrike, Dell, Disney, Eli Lilly",Littelfuse price target raised to $315 from $300 at Baird,"Analysts Conflicted on These Technology Names: TTEC Holdings (TTEC), Littelfuse (LFUS) and NEXTracker, Inc. Class A (NXT)",Analysts Offer Insights on Technology Companies: Salesforce (CRM) and Littelfuse (LFUS),Littelfuse upgraded to Buy from Hold at Stifel
Cytokinetics Announces Two Presentations at the 2024 American College of Clinical Pharmacology Annual Meeting,Cytokinetics price target raised to $71 from $65 at JPMorgan,Truist Financial Issues a Buy Rating on Cytokinetics (CYTK),Hold Rating on Cytokinetics’ Aficamten Amid Positive Safety and Efficacy Profiles,Cytokinetics Hold Rating Affirmed Amid Incremental Drug Updates and Competitive Uncertainties
"Freshpet, Inc. Announces Inducement Grant Under NASDAQ Listing Rule 5635(c)(4)",Freshpet’s Strategic Hiring and Strong Growth Prospects Justify a Buy Rating and Higher Price Target,Freshpet price target raised to $160 from $143 at TD Cowen,Freshpet’s Bullish Outlook: Strategic Leadership and Enhanced Performance Drive Outperform Rating,"Baird ups Freshpet target, says hiring of Baty ‘big win’"
BOK Financial Releases Investor Presentation Online,NaN,NaN,NaN,NaN
Friday’s stock stories: What’s likely to move the market in the next session,"Analysts Are Neutral on These Industrial Goods Stocks: Landstar System (LSTR), Fortune Brands Innovations (FBIN)",NaN,NaN,NaN
D.A. Davidson Sticks to Its Buy Rating for CommVault Systems (CVLT),Commvault price target raised to $175 from $170 at DA Davidson,Commvault exec sells $2.6M in common stock,NaN,NaN
HealthEquity files automatic mixed securities shelf,HealthEquity price target raised to $103 from $102 at Deutsche Bank,HealthEquity Outperforms with Strong Financials and Positive Outlook: A Buy Rating Justified,HealthEquity price target lowered to $100 from $105 at BofA,RBC Capital Remains a Buy on Healthequity (HQY)
"Gap beats earnings and revenue estimates, hikes profit margin outlook",Nokia phone maker launches Barbie handset for $130 — with no internet,"Mattel’s Fisher-Price, John Legend partner to release covers of three songs",Mattel announces multi-brand collaboration celebrating Barbie fashion,"Mattel, BMW announce Uno for in-car gaming"
SAIC price target raised to $135 from $125 at Truist,SAIC price target raised to $150 from $132 at JPMorgan,Citi Reaffirms Their Buy Rating on Science Applications (SAIC),SAIC price target raised to $155 from $145 at TD Cowen,Science Applications (SAIC) Receives a Rating Update from a Top Analyst
Novanta Promotes John Burke to Chief Accounting Officer,NaN,NaN,NaN,NaN
"Lattice Semiconductor CFO Luther sells over 20,000 common shares",NaN,NaN,NaN,NaN
"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more",Astera Labs upgraded to Overweight from Equal Weight at Morgan Stanley,"Astera Labs, Inc.: A Buy Rating With Potential for Significant Growth Amidst Undervaluation","Analysts’ Top NA Picks: SUPER HI INTERNATIONAL HOLDING LTD. Sponsored ADR (HDL), Astera Labs, Inc. (ALAB)"
Nova Ltd. Engages Investors at Upcoming Conferences,Nova (NVMI) Receives a Buy from Evercore ISI,Nova price target raised to $240 from $215 at Benchmark,Strong Performance and Positive Market Positioning Merit a Buy Rating for Nova (NVMI),NaN
"Thursday’s top analyst calls: Nvidia, Apple, Tesla, Marriott, CrowdStrike",NaN,NaN,NaN,NaN
Varonis prices upsized offering of $400M in convertible senior notes,Varonis announces proposed offering of $350M of convertible senior notes,Varonis to Present at Upcoming Investor Conference,"Analysts’ Opinions Are Mixed on These Technology Stocks: Varonis Systems (VRNS), Alkami Technology (ALKT) and Garmin (GRMN)",NaN
"Masimo CEO shared confidential documents with investor before release, documents show","Masimo, under activist pressure, subpoenaed proxy advisors for investor messages",Masimo urges stockholder to vote ‘FOR’ only the company’s director nominees,Buy Rating Affirmed for Masimo Amidst Favorable Legal Developments and Strong Financials,Masimo Explores Strategic Options for Consumer Business Division
Dell and Palantir to join S&P 500; shares of both jump,"S&P announces changes to S&P 400, 600 indexes for quarterly rebalance","Palantir, Dell Technologies, Erie Indemnity to be added to S&P 500 on 9/23",Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call,Etsy initiated with a Neutral at Cantor Fitzgerald
Kanzhun Limited Executes Post-IPO Share Purchase,Kanzhun Ltd Maintains Share Capital Stability,Kanzhun Limited Executes Post-IPO Share Scheme Purchase,Kanzhun price target lowered to $14 from $27 at Barclays,Barclays Sticks to Its Buy Rating for Kanzhun Ltd Sponsored (BZ)
Old National to Present at the 2024 Barclays Global Financial Services Conference,Old National Bancorp Announces Quarterly Dividends,Barclays Reaffirms Their Buy Rating on Old National Bancorp Capital (ONB),Old National Bancorp Unveils New Investor Presentation Materials,NaN
Casella Waste sees $9M charge in September quarter due to landfill closure,Casella Recognizes 2024 Sustainability Leaders,NaN,NaN,NaN
China’s first global gaming hit sells millions. Its investor shares what’s next,Bilibili Inc. Reports Stable Share Capital,Bilibili price target raised to $19 from $18 at BofA,Bilibili’s Robust Gaming and Ad Revenue Growth Spurs Buy Rating,Bilibili’s Strong Financial Performance and Growth Prospects Merit a Buy Rating
"S&P announces changes to S&P 400, 600 indexes for quarterly rebalance",Hamilton Lane Shareholders Approve Key Corporate Changes,Analysts Offer Insights on Financial Companies: REVO S.p.A. (H0O) and Hamilton Lane (HLNE),Hold Rating Maintained for Hamilton Lane with Mixed Earnings Outlook and Raised Price Target,NaN
ChampionX Declares Quarterly Dividend,NaN,NaN,NaN,NaN
Wall Street wants to see Nvidia pull off a ‘Triple Lindy’ when it reports earnings,"Monday’s biggest analyst calls: Nvidia, Amazon, Microsoft, BJ’s and more",Craig-Hallum Sticks to Their Buy Rating for Ollie’s Bargain Outlet Holding (OLLI),"Analysts’ Top Consumer Cyclical Picks: Amazon (AMZN), Ollie’s Bargain Outlet Holding (OLLI)","Analysts Conflicted on These Consumer Cyclical Names: Best Buy Co (BBY), Lululemon Athletica (LULU) and Ollie’s Bargain Outlet Holding (OLLI)"
"We’re adding to a stock that should see relief from rate cuts, election clarity",Cramer sees a ‘potential tailwind’ for Amazon from a big Chinese online retailer,"Fed Chair Powell checks the box, and our rate sensitive stocks react accordingly","The long-term winners as AI boosts U.S. power needs, according to Mizuho",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports
"Stocks making biggest moves midday: JetBlue, Tesla, G-III Apparel and more","Analysts Offer Insights on Technology Companies: Oracle (ORCL), Credo Technology Group Holding Ltd (CRDO) and Samsara (IOT)",Credo Technology price target raised to $38 from $30 at Craig-Hallum,Credo Technology price target raised to $27 from $25 at BofA,Credo Technology price target raised to $35 from $30 at Roth MKM
Pegasystems (PEGA) Receives a Buy from William Blair,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Leon Cooperman slashes Microsoft holding, says he’s conservative on markets",Mr. Cooper management to meet with Compass Point,Analysts Have Conflicting Sentiments on These Financial Companies: P10 Holdings (PX) and Mr Cooper Group (COOP),NaN,NaN
Truist Financial Releases a Hold Rating on R1 RCM (RCM),NaN,NaN,NaN,NaN
TransMedics Group: A Strong Buy on Steady Transplant Volume Growth and Market Potential,TransMedics Group (TMDX) Receives a Buy from Piper Sandler,Oppenheimer Sticks to Its Buy Rating for TransMedics Group (TMDX),TransMedics Group: A Strong Buy on Unique Positioning and Growth in the Organ Transplant Market,Oppenheimer Reaffirms Their Buy Rating on TransMedics Group (TMDX)
ExlService price target raised to $41 from $38 at JPMorgan,EXL to participate in Citi Global TMT Conference in New York,Analysts Offer Insights on Technology Companies: MarketWise (MKTW) and Exlservice Holdings (EXLS),ExlService management to meet virtually with Barrington,NaN
Global-e Online (GLBE) Receives a Buy from Jefferies,Global-e Online: A Strong Buy on Resilient EBITDA and Strategic Expansion Potential,Global-e Online price target lowered to $38 from $40 at KeyBanc,Global-e Online price target lowered to $45 from $47 at BofA,Buy Rating Affirmed for Global-e Online with Promising Growth and Resilience Amidst Challenges
Capital One Spark Cash Plus review: 2% cash back on all eligible purchases,Credit Acceptance Named One of PEOPLE Magazine’s 100 Companies that Care for Third Consecutive Year,NaN,NaN,NaN
Krystal Biotech price target raised to $205 from $195 at BofA,Krystal Biotech (KRYS) Receives a Buy from TD Cowen,Krystal Biotech Reports Promising KB301 Phase 1 Results,Buy Rating Affirmed for Krystal Biotech Following Promising KB301 Study Results,Krystal Biotech price target raised to $221 from $200 at H.C. Wainwright
Vertex to Present at Goldman Sachs Conference,Vertex completes acquisition of ecosio,Vertex Completes Acquisition of ecosio,"Buy Rating for Vertex Inc.: Strong Demand, Strategic Acquisitions, and ERP Opportunities Fuel Growth Outlook",JMP Securities Reaffirms Their Buy Rating on Vertex (VERX)
Freedom Holding reports Q1 EPS 57c vs. $1.15 last year,NaN,NaN,NaN,NaN
Trade Tracker: Steve Weiss buys more QXO,Largest borrow rate increases among liquid names,"QXO, Inc. reports Q2 EPS ($9.93) vs 52c last year",Two new option listings on August 9th,NaN
Beacon announces PaYS partnership with U.S. Army,"Analysts’ Opinions Are Mixed on These Industrial Goods Stocks: ALD SA (Frankfurt: DE:3AL), Sixt SE (GB:0NW7) and Beacon Roofing Supply (BECN)",NaN,NaN,NaN
"Balchem Corporation to Present at the HC Wainwright & Co. 26th Annual Global Investment Conference on September 9, 2024",NaN,NaN,NaN,NaN
"Frequent media bidder Byron Allen draws ire with late payments to ABC, CBS, NBC",Nexstar announces select television stations to become affiliates of CW Network,Nexstar Media Group: Strong Positioning and Financials Warrant a Buy Rating,Gray Television to renew affiliation agreements with CW Network,Election 2024: Where To Put Your Money Ahead of the Vote
"Thursday’s top analyst calls: Nvidia, Apple, Tesla, Marriott, CrowdStrike",Nuvalent price target raised to $100 from $90 at JPMorgan,Analysts Offer Insights on Healthcare Companies: Nuvalent (NUVL) and Ardelyx (ARDX),Nuvalent (NUVL) Gets a Buy from Piper Sandler,"3 Best Stocks to Buy Now, 8/29/2024, According to Top Analysts "
Coinbase has worst week of the year as crypto stocks plummet,"Bitcoin recovers from overnight sell-off that pushed it below $56,000: CNBC Crypto World","Ether climbs to start the week after crossing $2,600 over the weekend: CNBC Crypto World","Stocks making big midday moves: JetBlue, Hawaiian Electric, KeyCorp and more",Trump’s bitcoin strategy shared behind closed doors with CEOs: Here’s what he said
Short Report: Bearish positioning in Madrigal Pharmaceuticals at 3-month high,"Paulson buys Everbridge, cuts Anglogold in Q2",NaN,NaN,NaN
Enact Provides Update on Capital Position Under New PMIERs Available Asset Guidelines,"Enact Re, Ltd. Receives A- Rating from S&P Global Ratings",NaN,NaN,NaN
"Tuesday’s top analyst calls: Nvidia, Apple, Broadcom, Boeing, IBM, Meta, Uber","3 Best Stocks to Buy Now, 9/3/2024, According to Top Analysts ",Allegro MicroSystems initiated with a Buy at UBS,"Analysts Offer Insights on Technology Companies: Datadog (DDOG), Fidelity National Info (FIS) and Allegro MicroSystems (ALGM)",NaN
"Soros buys JD.com, cuts AerCap in Q2",NaN,NaN,NaN,NaN
Insurance stocks are racing ahead of the market in the third quarter,Best homeowners insurance in New Jersey,NaN,NaN,NaN
Option Care Health Board Reshuffles and By-law Amendments,NaN,NaN,NaN,NaN
Buy Rating Affirmed: Merit Medical’s WRAPSODY Stent Projected to Drive Strong Growth and Increase Stock Value,NaN,NaN,NaN,NaN
Exponent management to meet with Truist,NaN,NaN,NaN,NaN
"CERIS Announces Enhanced Offering to Fraud, Waste, and Abuse Solutions",CERIS announces advancements to FWA solutions,NaN,NaN,NaN
FirstCash Bolsters Financial Flexibility and Growth Potential,NaN,NaN,NaN,NaN
Judge temporarily blocks sports streaming service Venu over antitrust concerns,DirecTV is pushing its pay TV bundle — without a satellite dish,"Dish Network in talks with creditors to resolve lawsuit, Bloomberg says",Deutsche Bank Keeps Their Buy Rating on Echostar (SATS),"Soros buys JD.com, cuts AerCap in Q2"
"BRP Q2 FY2025: Revenue Falls, Guidance Revised",BRP Inc. Faces Earnings Plunge in 2024,Morning Movers: Broadcom sinks after earnings,BRP Inc. cuts FY25 normalized EPS view to C$2.75-C$3.25 from C$6.00-C$7.00,BRP Inc. sees Q3 EPS up between high-single digit to low-teen percentage vs. Q2
Barclays Remains a Hold on Columbia Banking System (COLB),Columbia Banking System Announces $0.36 Per Common Share Dividend,NaN,NaN,NaN
Stifel Nicolaus Keeps Their Buy Rating on Ultragenyx Pharmaceutical (RARE),Truist biotech analysts hold an analyst/industry conference call,Ultragenyx Reports Inducement Grant Under Nasdaq Listing Rule 5635(c)(4),"Abeona Therapeutics appoints Zeiher, Crombez to board of directors",NaN
"United Bankshares Expands Board, Appoints Dr. DuMond",NaN,NaN,NaN,NaN
AeroVironment CEO calls drones ‘incredibly affordable’,"Stocks making the biggest moves after hours: C3.ai, Topgolf Callaway and more","GE Healthcare shows signs of life, but a key uncertainty keeps us on the sidelines","Stocks making the biggest moves midday: Super Micro, Abercrombie and more","Wednesday’s top analyst calls: Nvidia, Apple, Meta, Tesla, McDonald’s and more"
NaN,NaN,NaN,NaN,NaN
ACI Worldwide price target raised to $61 from $56 at Seaport Research,Analysts’ Opinions Are Mixed on These Technology Stocks: Keysight Technologies (KEYS) and ACI Worldwide (ACIW),NaN,NaN,NaN
"ESPN goes dark on DirecTV, Harris to oppose Nippon-U.S. Steel deal: Morning Buzz","TPG sold stake in Sixth Street back to former credit arm, Semafor reports","ESPN, ABC go dark on DirectTV in feud with Disney, NY Times reports","TPG, UNH expressed interest in buying Surgery Partners, Bloomberg says","Evolent working with adviser on sale after interest, Reuters says"
DENTSPLY SIRONA: A Buy Rating Amid CFO Transition and Robust Growth Targets,Buy Rating Affirmed Despite CFO Departure: Confidence in DENTSPLY SIRONA’s Strategic Initiatives and Growth Prospects,DENTSPLY SIRONA Announces CFO Glenn Coleman’s Departure,Premier names Glenn Coleman as Chief Administrative and Financial Officer,Dentsply Sirona Initiates Search for New CFO
"3 Best Stocks to Buy Now, 8/29/2024, According to Top Analysts ","Analysts’ Top Healthcare Picks: Addex Therapeutics (ADXN), Avidity Biosciences (RNA)",Avidity Biosciences initiated with an Overweight at Barclays,Avidity Biosciences price target lowered to $53 from $54 at Evercore ISI,Promising Phase 1/2 Results for Avidity Biosciences Reinforce Buy Rating with New Price Objective
Barclays Sticks to Its Buy Rating for UMB Financial (UMBF),NaN,NaN,NaN,NaN
CSW Industrials Announces Upsize and Pricing of Public Offering of Common Stock,CSW Industrials prices 1.1M shares at $285 in upsized public offering,CSW Industrials 1M share Spot Secondary; price range $280.00-$290.00,CSW Industrials files automatic mixed securities shelf,CSW Industrials announces offering of 1M shares of common stock
NaN,NaN,NaN,NaN,NaN
"Stocks making the biggest moves midday: Dollar Tree, GitLab, Zscaler and more","Buy this satellite stock primed to rally more than 100%, Deutsche Bank says","Lightning Round: Ring the register on AST SpaceMobile, says Jim Cramer",Cramer’s Lightning Round: Flutter is a buy,AST SpaceMobile files automatic mixed securities shelf
Analysts Offer Insights on Financial Companies: Bank OZK (OZK) and CME Group (CME),NaN,NaN,NaN,NaN
"Tenable announces risk prioritization, compliance features for Tenable Nessus",Tenable Enhances Nessus Risk Prioritization to Help Customers Expose and Close Exposures,"Tenable, Deckers removed from Best Ideas List at Wedbush",Tenable files to sell 1.45M shares of common stock for holders,Stifel Nicolaus Remains a Buy on Tenable Holdings (TENB)
NaN,NaN,NaN,NaN,NaN
Apellis Pharmaceuticals Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),Apellis Pharmaceuticals to Present at Upcoming Investor Conferences,Apellis price target lowered to $64 from $72 at JPMorgan,Apellis price target raised to $41 from $38 at Wedbush,Wedbush Reaffirms Their Hold Rating on Apellis Pharmaceuticals (APLS)
Avnet’s Financial Maneuvers Lead to Sell Rating Amidst Underwhelming Shareholder Value Strategies,"Avnet boosts repurchase pact to $600M, hikes dividend 6% to 33c per share",Avnet Announces New Board Members and Audit Committee Appointments,"Analysts Offer Insights on Technology Companies: MeridianLink (MLNK), Avnet (AVT) and International Business Machines (IBM)",Avnet price target raised to $52 from $48 at Truist
"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more",Broadcom AI results fail to enthuse the Street: Morning Buzz,Coinbase and Robinhood upgraded: Wall Street’s top analyst calls,RadNet’s DeepHealth and HOPPR Forge Partnership to Advance AI in Healthcare,"RadNet, Inc. to Present at the Morgan Stanley 22nd Annual Global Healthcare Conference on Thursday, September 5th, 2024"
Oppenheimer’s picks for a Republican or Democratic election sweep,"Wednesday’s top analyst calls: Nvidia, Apple, Netflix, Sunrun, Amazon and more","‘Massive risk’ to number of solar players flying under radar, says GLJ Research","Jefferies power, utilities/energy analyst holds analyst/industry conference call",Sunrun price target raised to $31 from $26 at Jefferies
"88 corporate leaders endorse Harris, including CEOs of Yelp, Box",Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,"David Tepper’s Appaloosa slashes Nvidia stake, trims megacap tech positions","Tuesday’s top analyst calls: Netflix, Lyft, Amazon, CrowdStrike, Dell, Disney, Eli Lilly",Best commercial auto insurance companies
Enstar Group announces expiration of ‘go-shop’ period,Enstar Announces Expiration of “Go-Shop” Period,Enstar Group completes transaction with Insurance Australia Group,Enstar Completes Previously Announced Transaction with IAG,NaN
Benchmark Co. Keeps Their Hold Rating on Lancaster Colony (LANC),Lancaster Colony price target lowered to $232 from $236 at Loop Capital,Loop Capital Markets Sticks to Their Buy Rating for Lancaster Colony (LANC),Benchmark Co. Sticks to Their Hold Rating for Lancaster Colony (LANC),Lancaster Colony expects Retail segment sales benefit in 2025
