Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
208.04M,"1,706,481",-103.33M,-1,445,17.15,Strong Buy,16.86,"Aug 15, 2024",DNLI,Denali Therapeutics Inc.,3.55B,24.77,1.27M,7.32%,9.74%,25.46%,+0.57%,+26.41%,Denali Therapeutics price target raised to $29 from $25 at BofA,Buy Rating Affirmed: FDA’s Endorsement and Promising Data Bolster Denali Therapeutics’s Drug Pipeline,Denali Therapeutics: Strong Buy on Regulatory Wins and ETV Franchise Progress,Denali Therapeutics’ DNL310 Shows Promise for Early Approval and Market Success,Denali Therapeutics Announces Successful Meeting with the FDA and Plans to File for Accelerated Approval of Tividenofusp Alfa (DNL310) for the Treatment of MPS II (Hunter Syndrome),Denali Therapeutics price target raised to $29 from $25 at BofA Buy Rating Affirmed: FDA’s Endorsement and Promising Data Bolster Denali Therapeutics’s Drug Pipeline Denali Therapeutics: Strong Buy on Regulatory Wins and ETV Franchise Progress Denali Therapeutics’ DNL310 Shows Promise for Early Approval and Market Success Denali Therapeutics Announces Successful Meeting with the FDA and Plans to File for Accelerated Approval of Tividenofusp Alfa (DNL310) for the Treatment of MPS II (Hunter Syndrome),0,0,0,0,0,0
92.26M,"2,972,324",310.02M,-1,"2,109",38.59,Hold,41.27,"Aug 21, 2024",BANF,BancFirst Corporation,3.54B,107.06,594.14M,4.20%,10.06%,16.90%,-0.78%,+25.67%,"BancFirst director Rainbolt sells over 18,000 common shares",BancFirst Announces Dividends and Subsidiary Interest Payments,BancFirst raises quarterly dividend to 46c from 43c per share,,,"BancFirst director Rainbolt sells over 18,000 common shares BancFirst Announces Dividends and Subsidiary Interest Payments BancFirst raises quarterly dividend to 46c from 43c per share",1,1,1,0,-1,-1
365.28M,"4,225,204",15.40M,-1,797,9.72,Hold,13.71,"Aug 5, 2024",AXNX,"Axonics, Inc.",3.52B,68.95,408.81M,0.58%,1.46%,4.97%,+0.91%,+1.84%,"Soros buys JD.com, cuts AerCap in Q2",,,,,"Soros buys JD.com, cuts AerCap in Q2",1,0,-1,-1,-1,-1
64.88M,"189,674",237.16M,$1.64,264,54.69,Buy,51.86,"Aug 8, 2024",TGTX,"TG Therapeutics, Inc.",3.51B,24.46,346.72M,8.07%,14.54%,38.78%,+18.17%,+60.81%,"S&P announces changes to S&P 400, 600 indexes for quarterly rebalance",TG Therapeutics Announces Schedule of Data Presentations for BRIUMVI at the 2024 European Committee for Treatment and Research in Multiple Sclerosis Annual Meeting,Biotech Alert: Searches spiking for these stocks today,TG Therapeutics call volume above normal and directionally bullish,TG Therapeutics put volume heavy and directionally bearish,"S&P announces changes to S&P 400, 600 indexes for quarterly rebalance TG Therapeutics Announces Schedule of Data Presentations for BRIUMVI at the 2024 European Committee for Treatment and Research in Multiple Sclerosis Annual Meeting Biotech Alert: Searches spiking for these stocks today TG Therapeutics call volume above normal and directionally bullish TG Therapeutics put volume heavy and directionally bearish",0,1,0,1,1,1
143.17M,"885,838",-419.65M,-1,"3,400",24.77,Strong Buy,39.33,"Aug 1, 2024",FULT,Fulton Financial Corporation,3.51B,19.28,1.08B,5.30%,6.65%,16.99%,-1.14%,+25.00%,Fulton Financial Unveils Strategic Outlook and Performance Data,,,,,Fulton Financial Unveils Strategic Outlook and Performance Data,0,0,-1,-1,-1,-1
33.02M,"74,039",200.90M,$1.72,"3,067",107.06,Sell,93.50,"Oct 17, 2024",CALM,"Cal-Maine Foods, Inc.",3.50B,71.45,2.33B,0.69%,7.74%,21.13%,-0.18%,+13.58%,Egg prices are rising once again as bird flu limits supply,,,,,Egg prices are rising once again as bird flu limits supply,1,1,-1,-1,-1,-1
51.12M,"209,520",-1.71M,-1,"3,180",68.95,Hold,70.67,"Aug 1, 2024",LOT,Lotus Technology Inc.,3.50B,5.17,832.97M,1.11%,-9.44%,-32.99%,-0.71%,-17.01%,Lotus Technology wins 2024 EUCCC Sustainable Business Award for Decarbonization Leadership,Lotus Enters the GCC Region with Two Award Winning Models,"Lotus obtains local homologation certification for Eletre, Emeya in GCC region",Lotus Tech Achieves Record Growth Amidst Adjustments,"Lotus Technology aims to achieve positive operating cashflow, EBITDA in 2026","Lotus Technology wins 2024 EUCCC Sustainable Business Award for Decarbonization Leadership Lotus Enters the GCC Region with Two Award Winning Models Lotus obtains local homologation certification for Eletre, Emeya in GCC region Lotus Tech Achieves Record Growth Amidst Adjustments Lotus Technology aims to achieve positive operating cashflow, EBITDA in 2026",0,0,0,0,0,0
143.45M,"2,507,387",95.69M,-1,"161,000",24.46,Strong Buy,33.60,"Aug 6, 2024",AAPL,Apple Inc.,"3,448.91B",226.84,385.60B,3.57%,3.46%,18.01%,+1.99%,+33.56%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings","Masimo CEO shared confidential documents with investor before release, documents show","Keep an eye on Meta, says KKM’s Jeff Kilburg",What to expect from Apple’s ‘It’s Glowtime’ event,"Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Masimo CEO shared confidential documents with investor before release, documents show Keep an eye on Meta, says KKM’s Jeff Kilburg What to expect from Apple’s ‘It’s Glowtime’ event",1,1,0,1,1,1
181.91M,"1,195,793",283.03M,$0.68,"29,600",19.28,Hold,18.40,"Oct 15, 2024",NVDA,NVIDIA Corporation,"3,179.31B",129.37,79.77B,11.25%,6.18%,48.36%,+7.34%,+42.73%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability This semiconductor ETF just had its worst week since 2020. Here’s what’s next Cramer: There isn’t an AI bubble, just intense demand and very little supply Jim Cramer deep dives into the weakness in chipmakers Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street",0,1,0,0,0,1
49.04M,"242,376",277.89M,$3.08,"228,000",71.45,Sell,58.50,"Oct 1, 2024",MSFT,Microsoft Corporation,"3,098.02B",416.79,245.12B,0.18%,-4.65%,1.01%,-1.85%,-3.51%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Wells Fargo’s top picks in September include this tech giant and pharma leader,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett Wells Fargo’s top picks in September include this tech giant and pharma leader Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit",1,1,1,1,1,1
676.74M,"100,977",-853.07M,-1,"182,381",5.17,,,"Aug 28, 2024",GOOG,Alphabet Inc.,"2,048.89B",167.43,328.28B,0.15%,-5.46%,5.88%,-5.00%,+6.86%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability YouTube group The Try Guys quickly found success in launching subscription model Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Top 10 people most likely to reach trillionaire status",0,1,0,1,0,0
15.20B,"29,834,257",101.96B,$1.00,"182,502",226.84,Buy,236.31,"Aug 1, 2024",GOOGL,Alphabet Inc.,"2,038.78B",165.62,328.28B,0.18%,-5.56%,5.79%,-5.07%,+6.79%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability YouTube group The Try Guys quickly found success in launching subscription model Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Top 10 people most likely to reach trillionaire status",1,1,0,1,0,0
24.58B,"310,565,961",42.60B,$0.04,"1,525,000",129.37,Strong Buy,136.74,"Aug 28, 2024",AMZN,"Amazon.com, Inc.","1,858.14B",177.04,604.33B,-0.13%,-5.58%,0.79%,-8.65%,-7.71%,Wells Fargo report: Amazon was 2023′s top apparel and footwear seller,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,Buy levels for 3 industrial stocks that benefit from AI boom and sector megatrends,"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions","Wells Fargo report: Amazon was 2023′s top apparel and footwear seller OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit Google’s second antitrust trial could help shape the future of online ads Buy levels for 3 industrial stocks that benefit from AI boom and sector megatrends AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions",1,1,1,1,1,0
7.43B,"12,917,138",88.14B,$3.00,"67,317",416.79,Strong Buy,493.97,"Jul 30, 2024",META,"Meta Platforms, Inc.","1,335.74B",528.00,149.78B,1.60%,3.14%,15.29%,+8.83%,-2.00%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Keep an eye on Meta, says KKM’s Jeff Kilburg",Top 10 people most likely to reach trillionaire status,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,"Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Keep an eye on Meta, says KKM’s Jeff Kilburg Top 10 people most likely to reach trillionaire status OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit Google’s second antitrust trial could help shape the future of online ads",1,1,1,0,1,1
12.31B,"11,634,952",87.66B,$0.80,"20,000",167.43,Buy,200.36,"Jul 23, 2024",AVGO,Broadcom Inc.,774.39B,166.36,42.62B,4.35%,0.33%,22.27%,-1.56%,+18.09%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Three-Stock Lunch: Broadcom, 3M, & Bowlero","This semiconductor ETF just had its worst week since 2020. Here’s what’s next Cramer: There isn’t an AI bubble, just intense demand and very little supply Jim Cramer deep dives into the weakness in chipmakers Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Three-Stock Lunch: Broadcom, 3M, & Bowlero",1,0,0,0,1,1
12.31B,"10,831,461",87.66B,$0.80,"140,473",165.62,Buy,199.27,"Jul 23, 2024",TSLA,"Tesla, Inc.",703.84B,220.32,95.32B,-0.79%,-4.32%,2.91%,-11.34%,+24.77%,"Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here",Oppenheimer’s picks for a Republican or Democratic election sweep,Top 10 people most likely to reach trillionaire status,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","U.S. markets, public companies are a growing target for Russian hackers","Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here Oppenheimer’s picks for a Republican or Democratic election sweep Top 10 people most likely to reach trillionaire status Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more U.S. markets, public companies are a growing target for Russian hackers",1,1,0,0,1,0
10.50B,"21,904,019",44.42B,-1,"316,000",177.04,Strong Buy,218.51,"Oct 24, 2024",COST,Costco Wholesale Corporation,389.78B,879.21,253.70B,6.85%,6.74%,22.45%,+8.04%,+24.43%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer recommends buying Costco stock as a port in September’s market storm,"Friday, September 6, 2024: Cramer says this chipmaker is a buy despite its post-earnings drawdown",Cramer’s Mad Dash: Costco,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell Jim Cramer recommends buying Costco stock as a port in September’s market storm Friday, September 6, 2024: Cramer says this chipmaker is a buy despite its post-earnings drawdown Cramer’s Mad Dash: Costco Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more",1,1,1,0,1,1
2.53B,"9,547,234",51.43B,$2.00,"42,416",528.00,Strong Buy,557.90,"Jul 31, 2024",ASML,ASML Holding N.V.,360.37B,907.26,27.26B,0.68%,-7.04%,0.20%,-5.19%,-9.33%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more","Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Dutch take on U.S. export controls, controlling shipments of some ASML machines","European stocks end week down 2.5%, worst since early August slump",U.S. rolls out new chip-related export controls as China makes industry advances,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more Dutch take on U.S. export controls, controlling shipments of some ASML machines European stocks end week down 2.5%, worst since early August slump U.S. rolls out new chip-related export controls as China makes industry advances",1,1,1,1,1,1
4.65B,"18,441,771",10.27B,$2.10,"13,000",166.36,Strong Buy,178.79,"Sep 5, 2024",NFLX,"Netflix, Inc.",294.72B,686.73,36.30B,7.02%,5.71%,19.15%,+8.83%,+7.49%,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Bill Gates says this is the No. 1 unsolvable problem facing today’s young people,NFL team sales are likely to stall as valuations soar,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry","Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett Bill Gates says this is the No. 1 unsolvable problem facing today’s young people NFL team sales are likely to stall as valuations soar Rising NFL valuations mean massive returns for owners NFL’s next big media rights payday is years off, subject to shifting industry",1,1,1,1,1,1
3.19B,"58,984,295",12.39B,-1,"89,900",220.32,Hold,202.12,"Oct 16, 2024",AZN,AstraZeneca PLC,268.01B,86.66,49.13B,5.33%,8.76%,21.74%,+10.37%,+29.52%,AstraZeneca says staff detained in China amid reports of drug-import investigation,India and Singapore agree to cooperate on chips as countries seek to strengthen partnership,India’s Modi expected to usher in new era of bilateral agreements in Singapore visit,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,AstraZeneca says staff detained in China amid reports of drug-import investigation India and Singapore agree to cooperate on chips as countries seek to strengthen partnership India’s Modi expected to usher in new era of bilateral agreements in Singapore visit Biden administration releases prices of 10 drugs in Medicare talks These low-volatility stocks have a winning record and are attractively valued,0,0,0,0,0,0
443.34M,"1,274,188",7.17B,$4.64,"26,000",879.21,Buy,819.89,"Sep 26, 2024",AMD,"Advanced Micro Devices, Inc.",250.83B,154.98,23.28B,5.50%,-2.35%,-4.52%,+1.30%,-14.12%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,Why Broadcom stock is tumbling after an earnings beat — and how to play the dip,"S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022","These are the top stocks to own for rest of the year, per Wolfe Research",CNBC Daily Open: Rate cuts need to start before inflation’s 2%,"This semiconductor ETF just had its worst week since 2020. Here’s what’s next Why Broadcom stock is tumbling after an earnings beat — and how to play the dip S&P 500 tumbles Friday to post worst week since 2023, Nasdaq drops 2% for worst week since 2022 These are the top stocks to own for rest of the year, per Wolfe Research CNBC Daily Open: Rate cuts need to start before inflation’s 2%",0,0,1,0,0,0
393.20M,"1,239,512",7.23B,$6.57,"29,945",907.26,Buy,"1,147.80","Oct 16, 2024",ADBE,Adobe Inc.,247.55B,558.30,20.43B,4.70%,4.01%,3.97%,+1.61%,+15.55%,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",The latest jobs report leaves stocks in a tough spot heading into the new week,"Chips get crushed, and clues in the jobs report for Modelo brewer Constellation","These are the top stocks to own for rest of the year, per Wolfe Research","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings The latest jobs report leaves stocks in a tough spot heading into the new week Chips get crushed, and clues in the jobs report for Modelo brewer Constellation These are the top stocks to own for rest of the year, per Wolfe Research Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more",0,0,0,0,0,1
429.16M,"1,347,866",7.09B,-1,"318,000",686.73,Buy,687.67,"Oct 16, 2024",PEP,"PepsiCo, Inc.",241.57B,175.87,92.05B,0.83%,3.49%,3.13%,+0.72%,+2.83%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box",How the Cowboys went from losing $1 million a month to topping the NFL in value,Beyond Meat to launch new steak alternative as it focuses on health,Jim Cramer expresses regret over BlackRock and gives his views on 3 other stocks,Delta chief operations officer departing for another company,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box How the Cowboys went from losing $1 million a month to topping the NFL in value Beyond Meat to launch new steak alternative as it focuses on health Jim Cramer expresses regret over BlackRock and gives his views on 3 other stocks Delta chief operations officer departing for another company",1,1,0,1,1,0
1.55B,"2,350,366",6.44B,$1.48,"67,000",86.66,Buy,88.80,"Jul 25, 2024",TMUS,"T-Mobile US, Inc.",231.70B,198.58,79.10B,5.95%,10.82%,22.06%,+10.49%,+25.01%,This ETF’s 2024 gains nearly match the Nasdaq Composite — with less volatility,Cramer says a carrier war could boost demand for the expected AI-enabled iPhone,These stocks outperformed in August. Here’s where they’re expected to go,Top Wall Street analysts are upbeat about the potential of these 3 stocks ,These low-volatility stocks have a winning record and are attractively valued,This ETF’s 2024 gains nearly match the Nasdaq Composite — with less volatility Cramer says a carrier war could boost demand for the expected AI-enabled iPhone These stocks outperformed in August. Here’s where they’re expected to go Top Wall Street analysts are upbeat about the potential of these 3 stocks  These low-volatility stocks have a winning record and are attractively valued,1,0,1,1,1,0
1.62B,"49,697,991",1.35B,-1,"66,323",154.98,Strong Buy,195.93,"Jul 30, 2024",LIN,Linde plc,222.39B,465.74,32.82B,4.13%,5.96%,8.97%,+4.26%,+1.75%,"Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday, August 28, 2024: Cramer says this industrial stock could be a ‘Harris trade’",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Linde price target raised to $550 from $523 at Jefferies,Linde (LIN): New Sell Recommendation for This Basic Materials Giant,"Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde Wednesday, August 28, 2024: Cramer says this industrial stock could be a ‘Harris trade’ Cramer updates his takes on all 32 portfolio stocks and grades earnings reports Linde price target raised to $550 from $523 at Jefferies Linde (LIN): New Sell Recommendation for This Basic Materials Giant",1,1,1,0,1,1
443.40M,"1,385,944",5.08B,-1,"84,900",558.30,Buy,599.31,"Sep 12, 2024",CSCO,"Cisco Systems, Inc.",204.42B,50.74,53.80B,6.42%,7.28%,4.39%,+2.89%,+2.68%,"Final Trades: Apple, Cisco, Kinetik Holdings and the 2-Year Treasury","Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Palo Alto Networks finally gets back on track — delivering solid earnings, outlook",Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","Final Trades: Apple, Cisco, Kinetik Holdings and the 2-Year Treasury Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier Palo Alto Networks finally gets back on track — delivering solid earnings, outlook Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",0,1,0,0,0,0
1.37B,"4,144,019",9.52B,$5.42,"17,403",175.87,Buy,186.00,"Oct 8, 2024",PDD,PDD Holdings Inc.,194.25B,139.87,41.11B,-29.65%,-29.80%,-28.29%,-30.82%,-24.35%,Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps,There is ‘lack of confidence’ in market on Chinese banks’ balance sheets,PDD just gave markets the latest warning on China’s consumer,Investors ‘left waiting’ for China’s market recovery: KraneShares CIO,CNBC Daily Open: Nvidia beating expectations isn’t enough,Alibaba to allow payment through Tencent’s WeChat Pay on e-commerce apps There is ‘lack of confidence’ in market on Chinese banks’ balance sheets PDD just gave markets the latest warning on China’s consumer Investors ‘left waiting’ for China’s market recovery: KraneShares CIO CNBC Daily Open: Nvidia beating expectations isn’t enough,1,1,0,0,0,0
1.17B,"2,536,262",9.46B,$2.60,"50,000",198.58,Strong Buy,196.11,"Jul 31, 2024",QCOM,QUALCOMM Incorporated,193.28B,173.50,37.35B,3.81%,-7.14%,4.13%,-5.03%,+0.19%,AI gadgets have been a bust so far. Apple aims to change that,Qualcomm says it’s working on mixed reality smart glasses with Samsung and Google,Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,"CNBC Daily Open: Nvidia sinks and data’s weak, but stay strong",S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September,"AI gadgets have been a bust so far. Apple aims to change that Qualcomm says it’s working on mixed reality smart glasses with Samsung and Google Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip CNBC Daily Open: Nvidia sinks and data’s weak, but stay strong S&P 500 books back-to-back losses as Wall Street grapples with a rocky start to September",0,0,0,1,0,0
477.50M,"1,106,510",6.40B,$5.56,"34,000",465.74,Buy,487.10,"Oct 24, 2024",TXN,Texas Instruments Incorporated,191.63B,209.88,16.09B,6.84%,6.35%,18.80%,+1.93%,+24.02%,Dividend stocks are expected to pop as the Fed lowers rates. How to choose them,"Intel has hired Morgan Stanley, other advisers for activist defense","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","Wednesday’s rapid-fire: Toll Brothers, Target, Macy’s, American Express, Texas Instruments",Jim Cramer says Toll Brothers can benefit from shortage of $1 million new homes,"Dividend stocks are expected to pop as the Fed lowers rates. How to choose them Intel has hired Morgan Stanley, other advisers for activist defense Stocks making the biggest moves midday: Target, JD.com, Macy’s and more Wednesday’s rapid-fire: Toll Brothers, Target, Macy’s, American Express, Texas Instruments Jim Cramer says Toll Brothers can benefit from shortage of $1 million new homes",1,0,0,1,1,0
4.03B,"9,792,080",10.32B,$1.60,"26,700",50.74,Buy,56.06,"Aug 14, 2024",AMGN,Amgen Inc.,176.67B,328.80,30.93B,0.16%,1.25%,10.42%,-0.90%,+22.06%,"Final Trades: Intuit, Amgen, the INDY and URNM",Eli Lilly CEO: People on GLP-1 weight loss drugs eat 800 calories less per day,Biden administration releases prices of 10 drugs in Medicare talks,These low-volatility stocks have a winning record and are attractively valued,Piper Sandler Sticks to Their Buy Rating for Amgen (AMGN),"Final Trades: Intuit, Amgen, the INDY and URNM Eli Lilly CEO: People on GLP-1 weight loss drugs eat 800 calories less per day Biden administration releases prices of 10 drugs in Medicare talks These low-volatility stocks have a winning record and are attractively valued Piper Sandler Sticks to Their Buy Rating for Amgen (AMGN)",0,1,0,0,0,0
1.39B,"102,367,839",13.60B,-1,"18,200",139.87,Strong Buy,211.11,"Aug 26, 2024",INTU,Intuit Inc.,173.28B,619.85,16.29B,-1.71%,-1.85%,0.57%,-4.68%,-2.94%,A September trading strategy from Goldman that nets an 18% return on average,"Final Trades: Intuit, Amgen, the INDY and URNM","3-Stock Lunch: Uber, Intuit & Cava","Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more",Intuit CEO Sasan Goodarzi goes one-on-one with Jim Cramer,"A September trading strategy from Goldman that nets an 18% return on average Final Trades: Intuit, Amgen, the INDY and URNM 3-Stock Lunch: Uber, Intuit & Cava Stocks making the biggest moves midday: Cava, Intuit, Ross Stores and more Intuit CEO Sasan Goodarzi goes one-on-one with Jim Cramer",1,0,1,1,1,1
1.11B,"7,080,413",8.71B,$3.40,"13,676",173.50,Buy,205.21,"Jul 31, 2024",ISRG,"Intuitive Surgical, Inc.",172.90B,486.55,7.57B,3.58%,7.14%,24.32%,+8.46%,+24.16%,Friday’s big stock stories: What’s likely to move the market in the next trading session,Intuitive Surgical (ISRG) Receives a Buy from BTIG,Intuitive Surgical price target raised to $494 from $469 at BTIG,Intuitive Surgical price target raised to $560 from $512 at Citi,Intuitive Surgical price target raised to $515 from $475 at RBC Capital,Friday’s big stock stories: What’s likely to move the market in the next trading session Intuitive Surgical (ISRG) Receives a Buy from BTIG Intuitive Surgical price target raised to $494 from $469 at BTIG Intuitive Surgical price target raised to $560 from $512 at Citi Intuitive Surgical price target raised to $515 from $475 at RBC Capital,0,0,0,0,0,0
913.05M,"5,804,012",5.28B,$5.20,"34,000",209.88,Hold,199.48,"Oct 22, 2024",AMAT,"Applied Materials, Inc.",167.08B,202.67,26.85B,-0.95%,-10.41%,0.88%,-9.10%,-7.20%,These stocks have the most riding on Nvidia’s results with highest correlation,"Final Trades: Amazon, Applied Materials and Home Depot","Stocks making biggest moves midday: Rocket Lab, H&R Block and more",10 things to watch in the stock market Friday including more bullishness on Lilly,"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","These stocks have the most riding on Nvidia’s results with highest correlation Final Trades: Amazon, Applied Materials and Home Depot Stocks making biggest moves midday: Rocket Lab, H&R Block and more 10 things to watch in the stock market Friday including more bullishness on Lilly Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike",0,1,0,1,0,0
537.33M,"1,716,778",3.13B,$9.00,"186,000",328.80,Buy,323.21,"Aug 6, 2024",CMCSA,Comcast Corporation,154.20B,39.82,121.11B,1.51%,3.29%,-1.93%,-3.25%,-2.37%,Automakers are getting back into advertising’s biggest arena: NFL,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry","NBC ripped up its Olympics playbook for 2024 — so far, it paid off",A look at the behind-the-scenes business of Hollywood studio lot tours,"Automakers are getting back into advertising’s biggest arena: NFL Rising NFL valuations mean massive returns for owners NFL’s next big media rights payday is years off, subject to shifting industry NBC ripped up its Olympics playbook for 2024 — so far, it paid off A look at the behind-the-scenes business of Hollywood studio lot tours",0,0,1,1,0,0
279.55M,"1,907,131",2.96B,$4.16,"7,096",619.85,Buy,696.96,"Aug 22, 2024",ARM,Arm Holdings plc,142.14B,135.63,3.50B,5.22%,-12.13%,17.00%,-13.07%,+0.40%,"Thursday’s top analyst calls: Nvidia, Apple, Meta, Amazon, Arm and more","Thursday’s analyst calls: Buy the Nvidia dip, General Motors gets downgraded",Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip,Nvidia $279 billion wipeout — the biggest in U.S. history — drags down global chip stocks,Slowdown in Nvidia’s sales growth spooks chip stocks in U.S. and Asia,"Thursday’s top analyst calls: Nvidia, Apple, Meta, Amazon, Arm and more Thursday’s analyst calls: Buy the Nvidia dip, General Motors gets downgraded Qualcomm ramps up challenge to Intel and AMD with latest AI PC chip Nvidia $279 billion wipeout — the biggest in U.S. history — drags down global chip stocks Slowdown in Nvidia’s sales growth spooks chip stocks in U.S. and Asia",0,1,1,1,1,1
