Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,P/E Ratio,Dividend Yield (%),Market Cap to Revenue Ratio,Earnings Per Share (EPS),Revenue Per Employee,Target Price Difference (%)
,"220,324",2.15,3.24,10200.0,132.81,Buy,131.57,"Oct 24, 2024",FOXA,18.87,41.01,13.98,4.83%,11.16%,26.44%,+8.39%,+32.91%,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry",82% of Americans say saving for retirement is harder now than it used to be,"YES Network, MSG Networks to launch combined New York regional sports app",5 things to know before the stock market opens Monday,,7.900512070226775,1.349785407725322,,0.0013705882352941176,220.82418922214097
,"427,999",,,22261.0,193.82,Buy,247.31,"Aug 7, 2024",RYAAY,18.86,105.74,14.38,6.53%,-0.38%,-13.92%,+7.44%,-25.32%,Europe markets close higher as investors weigh global outlook,"Europe markets close slightly higher, led by travel stocks","Elliott will launch proxy fight at Southwest, nominate 10 directors",Ryanair Progresses With Share Buy-Back Program,Ryanair Holdings Sees Major Voting Rights Shift,,,1.3115438108484005,,0.0006459727775032568,133.88500094571592
2.45,"36,011,277",-11.77,,15000.0,8.05,Buy,11.59,"Aug 7, 2024",COO,18.84,94.62,3.73,1.24%,3.64%,1.66%,+1.30%,-4.12%,Barclays sees four catalysts ahead for this ‘overlooked’ investment opportunity,Stifel Nicolaus Reaffirms Their Buy Rating on Cooper Co (COO),Early notable gainers among liquid option names on August 29th,Piper Sandler Keeps Their Buy Rating on Cooper Co (COO),Cooper Companies price target raised to $125 from $118 at Baird,-19.695751911639764,,5.050938337801608,-4.804081632653061,0.0002486666666666667,-87.75100401606424
,"644,221",,,2200.0,85.82,Buy,94.07,"Sep 3, 2024",HOOD,18.68,21.12,2.24,11.58%,1.05%,29.62%,-1.22%,+10.43%,Jim Cramer’s top 10 things to watch in the stock market Friday,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Analyst calls: Broadcom earnings reaction, Chinese EV stock gets an upgrade",Super PAC backing Kamala Harris to accept crypto donations: CNBC Crypto World,"Stocks making the biggest moves midday: Walmart, Nike, Dell, Tapestry and more",,,8.339285714285714,,0.0010181818181818183,345.4071969696969
,"1,819,857",1.5,0.53,12600.0,41.01,Buy,36.71,"Aug 6, 2024",STLD,18.65,120.88,18.15,0.80%,-2.51%,-3.69%,-11.40%,-19.85%,Seaport Research steel analyst to hold analyst/industry conference call,Steel Dynamics upgraded to Buy from Neutral at UBS,Steel Dynamics Announces Third Quarter 2024 Cash Dividend,Morgan Stanley Sticks to Their Hold Rating for Steel Dynamics (STLD),Steel Dynamics price target raised to $138 from $134 at Morgan Stanley,,0.43845135671740576,1.0275482093663912,,0.0014404761904761904,-69.63103904698875
1.13,"323,242",1.73,2.89,6990.0,105.74,Buy,158.5,"Jul 22, 2024",HOLX,18.64,80.25,3.99,-2.40%,2.35%,6.44%,-1.51%,+3.08%,Citi Remains a Buy on Hologic (HOLX),Hologic participates in a conference call with JPMorgan,RBC Capital Sticks to Their Hold Rating for Hologic (HOLX),,,52.417630057803464,3.601246105919003,4.671679197994988,1.5309734513274338,0.0005708154506437769,97.50778816199377
,"1,157,296",,0.02,19800.0,94.62,Strong Buy,111.78,"Aug 28, 2024",PFG,18.41,79.48,15.65,3.38%,-0.32%,-0.05%,-1.63%,-5.12%,Principal Financial initiated with an Underweight at Barclays,Principal Financial names Deanna Strable President and Chief Operating Officer,Principal Financial price target lowered to $83 from $85 at Morgan Stanley,Morgan Stanley Sticks to Its Hold Rating for Principal Financial (PFG),,,0.025163563160543533,1.1763578274760382,,0.0007904040404040404,40.639154504277805
,"8,868,141",,,,21.12,Buy,22.81,"Aug 7, 2024",FWONK,18.22,77.5,3.69,0.09%,1.72%,11.10%,-4.48%,+12.79%,Liberty Media CEO to Discuss Financial Outlook at Tech Conference,Atlanta Braves Holdings Announces Strategic Leadership Overhaul,Liberty Media Announces Completion of Formula One Stock Offering,Liberty Media Announces SiriusXM Holdings Split-Off,Split-off of Liberty SiriusXM approved at Liberty Media special meeting,,,4.9376693766937665,,,-70.56774193548387
,"973,172",2.01,1.84,10400.0,120.88,Hold,132.13,"Oct 16, 2024",FOX,18.2,38.14,13.98,4.53%,10.84%,26.72%,+8.02%,+34.52%,Rising NFL valuations mean massive returns for owners,"NFL’s next big media rights payday is years off, subject to shifting industry",82% of Americans say saving for retirement is harder now than it used to be,"YES Network, MSG Networks to launch combined New York regional sports app",5 things to know before the stock market opens Monday,,4.8243314105925545,1.3018597997138768,,0.0013442307692307692,246.43418982695331
,"877,422",,,26600.0,80.25,Buy,87.6,"Jul 29, 2024",SSNC,18.17,74.03,5.66,3.27%,10.02%,18.74%,+1.77%,+18.35%,SS&C Increases Common Stock Dividend to $0.25 Per Share,SS&C raises quarterly dividend to 25c from 24c per share,,,,,,3.2102473498233217,,0.00021278195488721804,18.330406591922184
,"672,384",1.26,2.88,5037.0,79.48,Hold,84.33,"Jul 25, 2024",MDB,18.16,247.61,1.77,-1.30%,-2.53%,-31.05%,-6.73%,-35.13%,Jim Cramer’s top 10 things to watch in the stock market Tuesday,"Stocks making the biggest moves midday: Intel, Elastic NV, MongoDB and more",MongoDB CEO on earnings: ‘We feel like we’re well positioned for the AI era’,"10 key things to watch in the stock market Friday, including two AI gainers","Stocks close higher Friday, S&P 500 posts fourth straight winning month",,1.1631194216711764,10.259887005649718,,0.00035139964264443123,-65.94240943419088
,"1,019,503",,,9750.0,77.5,Buy,84.0,"Aug 8, 2024",ZBRA,18.14,351.62,4.36,3.20%,6.91%,20.84%,-2.10%,+18.41%,These stocks typically have the best and worst Septembers,Zebra Tech (ZBRA) Gets a Buy from TD Cowen,,,,,,4.160550458715596,,0.0004471794871794872,-76.11057391502189
,,,,56000.0,,,,,ULTA,18.07,378.65,11.3,5.70%,-0.64%,-15.74%,+0.53%,-17.52%,"Stocks making the biggest moves midday: Intel, Elastic NV, MongoDB and more","10 key things to watch in the stock market Friday, including two AI gainers","Stocks making the biggest moves premarket: CrowdStrike, Alibaba, Ulta and more",5 things to know before the stock market opens Friday,"Stocks close higher Friday, S&P 500 posts fourth straight winning month",,,1.5991150442477875,,0.0002017857142857143,
,"752,393",1.5,0.53,34718.0,38.14,,,"Aug 6, 2024",JBHT,18.05,176.97,12.34,2.14%,4.69%,-5.18%,+0.59%,-10.83%,Friday’s stock stories: What’s likely to move the market in the next session,J.B. Hunt management to meet with Stephens,J.B. Hunt board authorizes repurchase of $1B of company’s common stock,Ken Hoexter Recommends Buy on JB Hunt Following $1 Billion Share Buyback and Solid Financial Performance,J.B. Hunt Trucking (NASDAQ:JBHT) Proves a Force in Autonomous Trucking,,0.29948578855173197,1.4627228525121556,,0.00035543522092286423,
,"819,396",,1.0,6486.0,74.03,Buy,70.75,"Jul 25, 2024",FWONA,18.02,70.44,3.69,-0.62%,1.53%,11.28%,-5.66%,+14.69%,Liberty Media CEO to Discuss Financial Outlook at Tech Conference,Atlanta Braves Holdings Announces Strategic Leadership Overhaul,Liberty Media Announces Completion of Formula One Stock Offering,Liberty Media Announces SiriusXM Holdings Split-Off,Split-off of Liberty SiriusXM approved at Liberty Media special meeting,,1.4196479273140261,4.883468834688347,,0.0005689176688251619,0.4400908574673513
,"1,331,653",,,17100.0,247.61,Buy,361.04,"Aug 29, 2024",EXPE,17.98,138.13,13.26,10.68%,10.07%,5.89%,+9.44%,+6.02%,These are the 10 U.S. states boasting America’s best workforces,Here are Wolfe’s favorite stocks as market approaches fresh record,‘Travel is too expensive right now’: Americans spend less or skip trips altogether,Travelers are finally cracking under the pressure of high costs,Benchmark’s Daniel Kurnos talks how to position in travel stocks,,,1.3559577677224737,,0.0007754385964912281,161.37696372981975
,"226,094",,,23100.0,351.62,Buy,347.1,"Jul 30, 2024",NTRS,17.89,88.7,7.61,3.69%,4.10%,7.18%,unch,+2.15%,Northern (NTRS) Receives a Sell from Morgan Stanley,Northern Trust partners with Greenlight to expand financial literacy,Northern Trust price target lowered to $84 from $85 at Deutsche Bank,,,,,2.350854139290407,,0.00032943722943722944,291.3190529875987
,"845,569",1.26,,4200.0,378.65,Buy,487.0,"Aug 29, 2024",DKNG,17.66,36.37,4.3,5.78%,-2.58%,-9.76%,-7.04%,-27.22%,Wall Street is still bullish on sports betting stocks despite mixed results,How the Cowboys went from losing $1 million a month to topping the NFL in value,Wednesday’s stock stories: What’s likely to move the market in the next session,DraftKings fined in Conn. over online slot machines that paid zero wins for week,NFL season expected to spur record $35 billion in legal sports wagers,,,4.1069767441860465,,0.0010238095238095238,1239.0156722573552
,"407,868",,1.72,8000.0,176.97,Buy,181.25,"Oct 15, 2024",ENTG,17.56,116.32,3.28,5.26%,-7.57%,-7.27%,-4.61%,-18.73%,Entegris Enhances Board with Semiconductor Expert Mary Puma,,,,,,1.4786795048143053,5.353658536585366,,0.00041,55.82015130674004
,"37,751",,,908.0,70.44,Strong Buy,75.0,"Aug 8, 2024",VRSN,17.5,179.32,1.53,1.01%,1.65%,-4.19%,-3.11%,-3.53%,Buy Rating on Verisign: A Balance of Contract Renewal Confidence and Growth Potential,,,,,,,11.437908496732026,,0.0016850220264317181,-58.17532902074504
,"1,221,754",,,21610.0,138.13,Buy,148.0,"Aug 8, 2024",ALGN,17.48,233.97,3.94,5.39%,0.30%,-10.88%,-0.41%,-27.28%,Stifel Nicolaus Reaffirms Their Buy Rating on Align Tech (ALGN),Early notable gainers among liquid option names on August 15th,Analysts Offer Insights on Healthcare Companies: Align Tech (ALGN) and Arcutis Biotherapeutics (ARQT),,,,,4.436548223350254,,0.00018232299861175382,-36.744027012010086
,"804,842",1.5,3.0,9750.0,88.7,Hold,89.54,"Oct 16, 2024",SWKS,17.44,109.21,4.37,1.69%,-0.80%,4.43%,-6.06%,+1.19%,,,,,,,2.747001190367183,3.990846681922197,,0.00044820512820512823,-18.011171138174152
,"7,491,240",,,2204.0,36.37,Strong Buy,49.5,"Aug 1, 2024",GMAB,17.36,27.34,2.73,2.58%,4.38%,-3.71%,-2.09%,-6.92%,Genmab resumed with an Equal Weight at Morgan Stanley,Genmab’s Hold Rating: Balancing Stability and Uncertainty,"Genmab price target lowered to DKK 2,500 from DKK 2,750 at Deutsche Bank",Strong Pipeline and Regulatory Approval Prospects Affirm Buy Rating for Genmab,Genmab to Present at Morgan Stanley 22nd Annual Global Healthcare Conference,,,6.358974358974359,,0.0012386569872958257,81.05340160936358
,"1,407,815",,0.4,3401.0,116.32,Strong Buy,145.8,"Jul 31, 2024",BMRN,17.14,90.02,2.59,2.49%,5.62%,3.69%,+7.10%,+3.88%,"Tuesday’s biggest analyst calls: Nvidia, Amazon, AMD, Ulta, Eli Lilly and more",Buy Rating Affirmed for BioMarin Pharmaceutical Amid Strong Voxzogo Outlook and Strategic Growth Initiatives,BioMarin price target raised to $95 from $86 at Scotiabank,BioMarin price target raised to $120 from $111 at JPMorgan,Analysts Offer Insights on Healthcare Companies: BioMarin Pharmaceutical (BMRN) and IO Biotech (IOBT),,0.4443457009553433,6.617760617760618,,0.0007615407233166715,61.964007998222634
,"555,911",,,8400.0,179.32,Buy,218.0,"Jul 25, 2024",LPLA,16.73,223.82,10.93,7.68%,-5.16%,-8.58%,-0.28%,-15.14%,"LPL Financial to acquire The Investment Center, terms not disclosed","LPL Financial to Acquire The Investment Center, Inc.",LPL Financial appoints Tom Gannon as chief advocacy officer,LPL Financial Appoints Tom Gannon as Chief Advocacy Officer,LPL Financial welcomes advisor Kelly Compton,,,1.5306495882891127,,0.0013011904761904762,-2.6003038155660767
,"627,903",,,3157.0,233.97,Buy,322.78,"Jul 24, 2024",ENPH,16.66,123.0,1.42,9.03%,11.22%,7.80%,+7.42%,+10.14%,"‘Massive risk’ to number of solar players flying under radar, says GLJ Research",Enphase announces solution for expanding legacy NEM systems in California,Enphase Energy price target raised to $115 from $111 at Jefferies,Tesla or Enphase Energy: Top Analyst Chooses the Superior Clean Energy Stock to Buy,Enphase Energy initiated with a Market Perform at William Blair,,,11.732394366197184,,0.0004497941083306937,162.42276422764226
,"1,413,400",,2.8,5908.0,109.21,Hold,113.59,"Jul 30, 2024",OKTA,16.66,99.01,2.36,4.52%,4.31%,7.19%,+2.77%,-4.89%,"Stocks making the biggest moves midday: Dollar General, Affirm and more","Stocks making big moves premarket: Nvidia, Salesforce, CrowdStrike and more","Thursday’s top analyst calls: Nvidia, Apple, Tesla, Marriott, CrowdStrike","Thursday’s analyst calls: Cava gets a downgrade, Apple a top AI pick","Stocks making the biggest moves after hours: Nvidia, Salesforce and more",,2.827997172002828,7.059322033898305,,0.00039945836154366956,14.725785274214722
,"305,559",,,23900.0,27.34,Buy,46.0,"Aug 8, 2024",NWS,16.19,29.2,10.09,2.96%,2.60%,10.35%,+2.35%,+10.20%,Starboard moves to collapse News Corp’s dual class stock in challenge to Rupert Murdoch,"Murdoch’s property group considers bid for Rightmove, sending shares 21% higher","Starboard raised Salesforce in Q2, cut stake in this online web services stock",Murdoch family battle highlights Nevada’s secret trust boom,"Starboard files proposal to end News Corp dual-class structure, Reuters says",,,1.6045589692765116,,0.0004221757322175732,57.53424657534247
,"852,274",,,4580.0,90.02,Buy,106.78,"Aug 5, 2024",MANH,16.08,262.51,,3.82%,6.90%,12.32%,+1.42%,+6.36%,,,,,,,,,,,-59.32345434459639
,"511,698",,1.2,23900.0,223.82,Buy,278.0,"Oct 24, 2024",NWSA,15.99,28.14,10.09,2.79%,2.06%,10.20%,+1.81%,+9.43%,Starboard moves to collapse News Corp’s dual class stock in challenge to Rupert Murdoch,"Murdoch’s property group considers bid for Rightmove, sending shares 21% higher","Starboard raised Salesforce in Q2, cut stake in this online web services stock",Murdoch family battle highlights Nevada’s secret trust boom,"Starboard files proposal to end News Corp dual-class structure, Reuters says",,4.264392324093817,1.584737363726462,,0.0004221757322175732,887.9175550817342
,"3,047,199",,,5200.0,123.0,Buy,128.39,"Oct 24, 2024",BSY,15.92,50.22,1.29,6.47%,5.50%,2.23%,+3.78%,+2.14%,Bentley Systems Expands Board and Announces Dividend,"Bentley Systems acquires Cesium, names CEO Patrick Cozzi chief platform officer",Bentley Systems management to meet with KeyBanc,Bentley Systems: Strong ARR Growth and EBITDA Expansion Justify Buy Rating Amidst Economic Headwinds,,,,12.341085271317828,,0.0002480769230769231,155.65511748307446
,"1,649,468",,,3400.0,99.01,Buy,104.53,"Aug 28, 2024",GEN,15.83,25.72,3.83,4.69%,5.47%,14.98%,+0.88%,+18.37%,"Starboard boosts stake in Salesforce, cuts stake in Humana",,,,,,,4.133159268929504,,0.001126470588235294,306.4152410575428
,"455,814",,0.2,1168.0,29.2,Buy,33.0,"Aug 8, 2024",UTHR,15.48,348.03,2.62,5.01%,7.18%,34.31%,+14.86%,+54.07%,MannKind price target raised to $12 from $10 at Oppenheimer,Buy Rating Affirmed for United Therapeutics on Strengthened Tyvaso Franchise Position,"Analysts Have Conflicting Sentiments on These Healthcare Companies: Perrigo Company (PRGO), Cue Biopharma (CUE) and United Therapeutics (UTHR)",Liquidia price target lowered to $28 from $30 at Ladenburg,Liquidia price target lowered to $23 from $24 at BofA,,0.05746631037554234,5.908396946564886,,0.002243150684931507,-90.51805878803552
,"199,701",,,1400.0,262.51,Strong Buy,257.43,"Oct 22, 2024",NBIX,15.43,152.81,2.12,2.92%,5.99%,12.76%,-12.58%,-10.91%,Writing options on these stocks could create income for your portfolio,"Stocks making the biggest moves midday: Super Micro, Abercrombie and more",Election 2024: Where To Put Your Money Ahead of the Vote,Biotech Alert: Searches spiking for these stocks today,Buy Rating Affirmed for Neurocrine on Market Potential and Superior Safety Profile,,,7.278301886792453,,0.0015142857142857143,68.46410575224134
,"1,145,060",,0.2,10250.0,28.14,Buy,33.0,"Aug 8, 2024",AKAM,15.43,101.83,3.93,3.01%,6.71%,-4.11%,+1.83%,-5.80%,"Stocks making the biggest moves midday: Sweetgreen, E.l.f. Beauty and more","Stocks making the biggest moves premarket: Taiwan Semiconductor, Insulet, Expedia and more","Akamai CEO Tom Leighton on Q2 earnings beat, AI adoption and growth outlook",Akamai Technologies: A Strong Buy on Strategic Security Shift and Solid Financials,Akamai (AKAM) Receives a Buy from Craig-Hallum,,0.1964057743297653,3.9262086513994907,,0.0003834146341463415,-67.59304723558873
,"682,256",,0.24,3293.0,50.22,Buy,59.57,"Aug 6, 2024",NTRA,15.18,122.71,1.36,6.87%,9.15%,38.03%,+16.04%,+22.80%,"The Committee’s Comeback Kids: Trade Desk, Sweetgreen, Natera, Samsara, PayPal and Leidos",Barclays sees four catalysts ahead for this ‘overlooked’ investment opportunity,Natera price target raised to $145 from $130 at Canaccord,"Analysts Offer Insights on Healthcare Companies: Immunocore Holdings (IMCR), Natera (NTRA) and Disc Medicine (IRON)",J.P. Morgan Sticks to Their Buy Rating for Natera (NTRA),,0.19558308206340153,11.161764705882351,,0.00041299726692985123,-51.454649172846544
,"3,384,228",,0.5,14500.0,25.72,Buy,27.2,"Aug 1, 2024",CPB,15.17,50.8,9.41,1.36%,5.97%,12.49%,+7.06%,+15.87%,"Thursday’s rapid fire: CrowdStrike, Campbell, Five Below, Burlington, Dollar General",Jim Cramer thinks CrowdStrike has bottomed and offers views on 4 other stocks,"Dow rises 200 points for fresh record close, Nasdaq falls as Nvidia shares tumble",Wall Street wants to see Nvidia pull off a ‘Triple Lindy’ when it reports earnings,Nvidia will be in the spotlight next week as Street wraps up a tumultuous August,,0.984251968503937,1.61211477151966,,0.0006489655172413793,-46.45669291338583
,"224,785",1.07,,5900.0,348.03,Buy,335.73,"Jul 31, 2024",WMG,15.07,29.1,6.38,1.62%,-2.65%,-11.25%,-3.30%,-12.93%,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies",Paramount-Skydance ‘go shop’ period extended to review Bronfman offer,Paramount (NASDAQ:PARA) Drama Not Over Yet as Edgar Bronfman Comes Back,Warner Music Group Corp. Announces Quarterly Cash Dividend,Evercore ISI Sticks to Their Buy Rating for Warner Music Group (WMG),,,2.3620689655172415,,0.0010813559322033898,1053.7113402061855
,"487,519",,,5442.0,152.81,Buy,163.26,"Aug 1, 2024",LNT,14.88,58.03,3.96,1.52%,6.14%,13.12%,+3.84%,+18.32%,These are the best teen checking accounts of September 2024,Best personal loans offered by credit unions,Best CD rates,Best credit unions,Alliant Energy (LNT) Gets a Buy from Bank of America Securities,,,3.757575757575758,,0.0007276736493936053,181.33723935895225
,"760,145",,,7900.0,101.83,Buy,115.39,"Aug 8, 2024",NDSN,14.72,257.4,2.66,5.71%,7.86%,2.32%,+2.38%,-5.47%,"Stocks making the biggest moves midday: Urban Outfitters, Peloton, Zoom and more","Stocks making the biggest moves premarket: Crocs, Paramount, Snowflake and more",Seaport Global Reaffirms Their Hold Rating on Nordson (NDSN),Oppenheimer Reaffirms Their Hold Rating on Nordson (NDSN),Nordson (NDSN) Receives a Hold from Seaport Global,,,5.533834586466165,,0.0003367088607594937,-55.17094017094018
,"835,403",,,2200.0,122.71,Strong Buy,122.57,"Aug 8, 2024",CG,14.34,40.25,2.78,-3.27%,-4.42%,-3.60%,-19.32%,-14.89%,5 things to know before the stock market opens Wednesday,"Calls of the Day: Ferrari, Cleveland Cliffs, Carlyle Group and BlackRock",NFL owners vote in favor of private equity investment,"Tuesday’s top analyst calls: Apple, Netflix, Nvidia, Ferrari, BlackRock and more",‘Private Markets Are the Hot Spot’: Analyst Suggests 2 Alternative Asset Stocks to Consider,,,5.158273381294964,,0.0012636363636363635,204.52173913043475
,"3,046,006",,1.48,103300.0,50.8,Hold,46.25,"Aug 29, 2024",UAL,14.25,43.32,55.64,1.22%,-6.83%,-6.51%,-9.00%,-4.31%,"U.S. airlines cool hiring after adding 194,000 employees in post-Covid spree",Friday’s stock stories: What’s likely to move the market in the next session,Here’s where American Airlines is adding flights to Europe in summer 2025,Why airlines like American are scrambling to make engines last longer,Airlines are leaning into AI to improve flights,,3.4164358264081254,0.25611071171818833,,0.0005386253630203291,6.763619575253924
,"1,241,812",,0.72,16790.0,29.1,Buy,37.07,"Aug 7, 2024",RIVN,14.08,13.96,5.01,2.50%,-0.60%,2.14%,-15.72%,+36.93%,"Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here","These stocks are contenders for selling — and can help cut taxes, Wolfe says",Tesla Cybertruck is in a category of its own for better or worse,5 things to know before the stock market opens Wednesday,GMC expects to outsell electric truck competitors as it launches new Sierra pickup,,5.1575931232091685,2.810379241516966,,0.0002983918999404407,165.54441260744986
,"645,024",,1.92,7300.0,58.03,Buy,58.36,"Aug 1, 2024",LOGI,14.05,92.26,4.41,2.62%,-0.79%,1.49%,-0.40%,+3.26%,Kepler Capital Sticks to Their Hold Rating for Logitech (LOGI),Logitech shareholders approve all proposals at AGM,Logitech price target raised to $88 from $87 at Loop Capital,Loop Capital Markets Remains a Hold on Logitech (LOGI),,,2.0810752221981357,3.1859410430839,,0.0006041095890410959,-36.74398439193583
,"253,745",,3.12,38000.0,257.4,Buy,290.4,"Aug 21, 2024",VTRS,14.04,11.76,15.24,-0.28%,3.87%,4.28%,-1.33%,+0.85%,Viatris Initiates Cash Tender Offers for Senior Notes,Viatris Announces Cash Tender Offers for Certain Outstanding Notes,Analyst Maintains Sell Rating on Viatris Citing Long-Term Revenue Concerns and Growth Challenges,,,,26.53061224489796,0.921259842519685,,0.0004010526315789474,2369.3877551020405
,"1,733,997",,1.4,18.0,40.25,Buy,46.62,"Aug 5, 2024",GLPI,13.92,50.74,1.49,2.94%,7.29%,10.84%,+1.75%,+13.11%,"Gaming and Leisure Properties, Inc. Declares Third Quarter 2024 Cash Dividend of $0.76 Per Share",Bet On It: Missouri sports betting certification process challenged with lawsuit,Gaming and Leisure Properties upgraded to Outperform from Peer Perform at Wolfe Research,Gaming and Leisure price target raised to $53 from $50 at Raymond James,Gaming and Leisure Properties price target raised to $55 from $53 at JMP Securities,,2.759164367363027,9.342281879194632,,0.08277777777777778,-8.119826566811202
,"3,308,035",2.94,,12700.0,43.32,Strong Buy,72.78,"Oct 15, 2024",TRMB,13.92,56.99,3.71,5.62%,2.75%,2.85%,+2.92%,-8.66%,"Trimble Struggles with Reporting Compliance, Receives Nasdaq Extension",Trimble receives listing deficiency notification from Nasdaq,"Analysts Are Bullish on These Technology Stocks: Onestream, Inc. Class A (OS), Trimble (TRMB)",Trimble called ‘highest conviction’ second half idea at Piper Sandler,"Jana added Rapid7 during Q2, sold out of Freshpet",,,3.752021563342318,,0.0002921259842519685,27.706615195648354
1.01,"33,005,416",-5.79,,6000.0,13.96,Buy,17.9,"Aug 6, 2024",POOL,13.72,358.52,5.37,-0.21%,4.52%,-4.01%,-6.53%,-11.77%,Pool Corp. price target raised to $335 from $310 at Stifel,Pool Corporation Announces Upcoming Investor Conference Participation,,,,-62.53975820379966,,2.554934823091248,-5.732673267326732,0.0008950000000000001,-95.00725203614861
,"233,533",,1.29,45359.0,92.26,Hold,94.56,"Jul 22, 2024",CASY,13.71,369.4,14.86,-0.65%,-0.78%,16.90%,-5.09%,+16.23%,"Stocks making biggest moves midday: JetBlue, Tesla, G-III Apparel and more","GE Healthcare shows signs of life, but a key uncertainty keeps us on the sidelines",Proposed 7-Eleven buyout deal likely to face antitrust scrutiny: Retail analyst,"Casey’s beats estimates amid golden age for convenience stores, Barron’s says",Casey’s General Stores price target raised to $403 from $393 at RBC Capital,,0.34921494315105583,0.9226110363391656,,0.000327608633347296,-74.40173253925283
1.19,"5,847,074",,0.48,1187.0,11.76,Hold,12.33,"Aug 8, 2024",AZPN,13.68,216.23,1.13,5.20%,8.11%,7.31%,+16.78%,+1.79%,"Software is a good small cap play because earnings are more recurring, says Julie Biel",,,,,,0.2219858484021644,12.106194690265488,,0.0009519797809604042,-94.2977385191694
,"1,018,697",,3.04,912.0,50.74,Buy,51.57,"Jul 25, 2024",INSM,13.55,78.84,,3.30%,6.41%,91.12%,+5.20%,+176.68%,Insmed added to Americas Conviction List at Goldman Sachs,Insmed’s Brensocatib Poised for Market Leadership: A Buy Rating Amidst Unthreatening Competition,Buy Rating Affirmed for Insmed on Breakthrough Trials and Market Expansion Opportunities,Truist Financial Reaffirms Their Buy Rating on Insmed (INSM),Brensocatib Poised for Market Success: A Buy Rating for Insmed Amid Positive KOL Sentiment and Limited Competition,,3.8559107052257735,,,,-34.589041095890416
,"535,620",1.51,,4658.0,56.99,Buy,66.29,"Aug 6, 2024",EVRG,13.46,58.53,5.64,-0.15%,4.89%,10.94%,+1.33%,+12.59%,Wednesday’s stock stories: What’s likely to move the market in the next session,Evergy appoints W. Bryan Buckler as CFO,Evergy files automatic mixed securities shelf,Evergy price target raised to $64 from $61 at Barclays,Barclays Keeps Their Buy Rating on Evergy (EVRG),,,2.3865248226950357,,0.001210820094461142,13.25815820946524
,"170,554",,4.8,11334.0,358.52,Hold,344.63,"Oct 17, 2024",MORN,13.44,313.83,2.17,0.08%,1.79%,6.19%,-2.35%,+0.13%,Only 11% of American workers don’t plan to work at all after they retire,"Utilities are getting expensive, but these 2 names are undervalued: Strategist",79% of Americans who make this one move won’t run out of money in retirement,‘Long-term opportunity’: Morningstar analyst names 2 luxury stocks to buy,The 3 biggest ways retirement savers ‘shoot themselves in the foot’,,1.5294904884810248,6.193548387096774,,0.00019145932592200458,9.814230634419912
,"222,517",,2.0,2932.0,369.4,Strong Buy,410.22,"Sep 4, 2024",IBKR,13.43,123.4,4.77,7.44%,5.39%,19.25%,+5.91%,+12.12%,Barclays Sticks to Its Buy Rating for Interactive Brokers (IBKR),Interactive Brokers reports August average revenue trades up 40% vs. last year,Interactive Brokers expands overnight trading offering,,,,1.6207455429497568,2.815513626834382,,0.0016268758526603,232.43111831442468
,"112,896",,0.53,1314.0,216.23,Strong Buy,224.5,"Aug 6, 2024",SRPT,13.4,140.56,1.5,1.77%,-2.15%,15.02%,-2.34%,+10.18%,Election 2024: Where To Put Your Money Ahead of the Vote,Analysts Offer Insights on Healthcare Companies: Sarepta Therapeutics (SRPT) and Danaher (DHR),Biotech Alert: Searches spiking for these stocks today,RBC Capital Sticks to Their Buy Rating for Sarepta Therapeutics (SRPT),Evercore ISI Reaffirms Their Buy Rating on Sarepta Therapeutics (SRPT),,0.37706317586795673,8.933333333333334,,0.001141552511415525,59.71826977803073
,"2,353,397",,,2800.0,78.84,Strong Buy,81.4,"Aug 8, 2024",ARCC,13.19,20.92,2.82,2.02%,1.43%,2.90%,+0.14%,+1.94%,,,,,,,,4.677304964539007,,0.001007142857142857,289.10133843212236
,"1,708,126",,2.57,6450.0,58.53,Buy,58.33,"Aug 9, 2024",NTNX,13.16,53.35,2.1,5.56%,1.48%,-3.51%,+3.52%,-20.75%,"Stocks making the biggest moves midday: Dollar General, Affirm and more","Stocks making big moves premarket: Nvidia, Salesforce, CrowdStrike and more","Stocks making the biggest moves after hours: Nvidia, Salesforce and more","Nutanix COO David Sangster Plans Retirement, Continues as Advisor",Analysts Have Conflicting Sentiments on These Technology Companies: Dave (DAVE) and Nutanix (NTNX),,4.817244611059043,6.266666666666667,,0.00032558139534883724,9.334582942830359
,"117,473",,1.62,1854.0,313.83,Strong Buy,336.0,"Jul 24, 2024",MNDY,13.13,263.42,,7.25%,9.69%,23.11%,+11.47%,+18.05%,Top Wall Street analysts are upbeat about the potential of these 3 stocks ,Jim Cramer’s top 10 things to watch in the stock market Tuesday,Op-ed: Small caps could be in for a revival. Here’s why,"Stocks making big midday moves: JetBlue, Hawaiian Electric, KeyCorp and more","After a busy week of stock trades, we’re looking ahead to some key inflation data",,0.6149874724774125,,,,27.552957254574434
